For condition '658', Best Medicine ID: 101269, Confidence: 2.247229717214014
For condition '414', Best Medicine ID: 38286, Confidence: 1.4761545812393637
For condition '472', Best Medicine ID: 176623, Confidence: 1.6996053238312796
For condition '643', Best Medicine ID: 49906, Confidence: 1.9077996708978593
For condition '262', Best Medicine ID: 92537, Confidence: 1.1927854925997674
For condition '770', Best Medicine ID: 209780, Confidence: 1.8426183022890035
For condition '47', Best Medicine ID: 56494, Confidence: 1.10862249335075
For condition '123', Best Medicine ID: 10352, Confidence: 0.93049369134821
For condition '611', Best Medicine ID: 209731, Confidence: 1.7915856190624369
For condition '161', Best Medicine ID: 67115, Confidence: 1.2426565217369112
For condition '172', Best Medicine ID: 75407, Confidence: 0.9940417920124187
For condition '774', Best Medicine ID: 214274, Confidence: 2.3996061850025385
For condition '53', Best Medicine ID: 232170, Confidence: 1.331571754715465
For condition '585', Best Medicine ID: 5755, Confidence: 1.685081405747208
For condition '121', Best Medicine ID: 83664, Confidence: 0.7742372495835506
For condition '170', Best Medicine ID: 21836, Confidence: 1.319453325434612
For condition '665', Best Medicine ID: 202742, Confidence: 1.4883123042071218
For condition '105', Best Medicine ID: 37974, Confidence: 0.7988891248922123
For condition '68', Best Medicine ID: 5991, Confidence: 0.7365519245228622
For condition '680', Best Medicine ID: 161656, Confidence: 1.6052984896403957
For condition '547', Best Medicine ID: 77973, Confidence: 1.5941378376287574
For condition '234', Best Medicine ID: 79231, Confidence: 1.510027180665211
For condition '624', Best Medicine ID: 93472, Confidence: 1.3614547428573172
For condition '106', Best Medicine ID: 173539, Confidence: 1.08220210020146
For condition '320', Best Medicine ID: 190691, Confidence: 1.3436153240430115
For condition '609', Best Medicine ID: 119071, Confidence: 1.4356859934914104
For condition '455', Best Medicine ID: 193353, Confidence: 1.797168733976672
For condition '561', Best Medicine ID: 78029, Confidence: 1.5479059062693374
For condition '19', Best Medicine ID: 74719, Confidence: 0.922823307567104
For condition '622', Best Medicine ID: 23342, Confidence: 2.0027327454755266
For condition '89', Best Medicine ID: 6641, Confidence: 0.9268315723524925
For condition '474', Best Medicine ID: 139521, Confidence: 1.33886164694115
For condition '135', Best Medicine ID: 176683, Confidence: 0.8252182615138146
For condition '319', Best Medicine ID: 112757, Confidence: 1.4451521196892443
For condition '63', Best Medicine ID: 118131, Confidence: 0.7238590278751575
For condition '789', Best Medicine ID: 138753, Confidence: 2.366343745445979
For condition '260', Best Medicine ID: 62834, Confidence: 0.854814466263339
For condition '656', Best Medicine ID: 80582, Confidence: 1.634761943960859
For condition '811', Best Medicine ID: 177244, Confidence: 2.1751154666726675
For condition '513', Best Medicine ID: 35687, Confidence: 2.0090613540395434
For condition '145', Best Medicine ID: 36673, Confidence: 1.3515395540489592
For condition '627', Best Medicine ID: 79803, Confidence: 1.614838525753496
For condition '385', Best Medicine ID: 161710, Confidence: 1.0627041430353819
For condition '795', Best Medicine ID: 57003, Confidence: 1.7843441468689156
For condition '444', Best Medicine ID: 5560, Confidence: 1.1457346927724488
For condition '537', Best Medicine ID: 6690, Confidence: 1.8201531672041233
For condition '204', Best Medicine ID: 3571, Confidence: 1.4490282465535498
For condition '189', Best Medicine ID: 187480, Confidence: 0.7046868072774077
For condition '649', Best Medicine ID: 208664, Confidence: 1.8333710974513004
For condition '459', Best Medicine ID: 29652, Confidence: 1.3504938144245786
For condition '94', Best Medicine ID: 116965, Confidence: 1.1305764744404805
For condition '160', Best Medicine ID: 203473, Confidence: 1.622551580790427
For condition '60', Best Medicine ID: 194410, Confidence: 0.4411677131748854
For condition '336', Best Medicine ID: 22334, Confidence: 1.0115226031301838
For condition '516', Best Medicine ID: 25593, Confidence: 1.4101422356971312
For condition '136', Best Medicine ID: 51140, Confidence: 0.8781660871731525
For condition '684', Best Medicine ID: 218290, Confidence: 1.9727725238255691
For condition '560', Best Medicine ID: 50272, Confidence: 1.5536991934348547
For condition '213', Best Medicine ID: 187346, Confidence: 1.3832567096193429
For condition '565', Best Medicine ID: 77984, Confidence: 1.726703506068568
For condition '178', Best Medicine ID: 145399, Confidence: 0.7666325400428065
For condition '653', Best Medicine ID: 153442, Confidence: 1.2921031683210327
For condition '4', Best Medicine ID: 68934, Confidence: 1.1230887883952392
For condition '591', Best Medicine ID: 118810, Confidence: 1.73539203096963
For condition '372', Best Medicine ID: 208330, Confidence: 1.5838743152954184
For condition '25', Best Medicine ID: 34491, Confidence: 0.693416923187069
For condition '361', Best Medicine ID: 224648, Confidence: 1.280707967357189
For condition '662', Best Medicine ID: 153486, Confidence: 1.3572077262587863
For condition '72', Best Medicine ID: 74763, Confidence: 0.7396688032904966
For condition '640', Best Medicine ID: 21292, Confidence: 1.5822032397385626
For condition '327', Best Medicine ID: 36154, Confidence: 1.1495161147581052
For condition '311', Best Medicine ID: 214730, Confidence: 1.2581737883947972
For condition '34', Best Medicine ID: 120412, Confidence: 0.5693603925696018
For condition '583', Best Medicine ID: 223233, Confidence: 1.6099280493058177
For condition '38', Best Medicine ID: 153797, Confidence: 0.5448001436478989
For condition '29', Best Medicine ID: 50532, Confidence: 0.570625821135488
For condition '74', Best Medicine ID: 6648, Confidence: 0.795018412133496
For condition '142', Best Medicine ID: 71048, Confidence: 0.4693227611734599
For condition '439', Best Medicine ID: 93909, Confidence: 1.380948299601965
For condition '646', Best Medicine ID: 114669, Confidence: 1.9732537785006508
For condition '269', Best Medicine ID: 141029, Confidence: 1.5380008561182628
For condition '71', Best Medicine ID: 59139, Confidence: 0.8391937233629783
For condition '368', Best Medicine ID: 220353, Confidence: 1.1346088505732905
For condition '171', Best Medicine ID: 169461, Confidence: 0.9356719092303412
For condition '246', Best Medicine ID: 102079, Confidence: 1.1440756079937981
For condition '124', Best Medicine ID: 223968, Confidence: 0.561706174053054
For condition '83', Best Medicine ID: 159921, Confidence: 0.9631136768238564
For condition '555', Best Medicine ID: 80365, Confidence: 1.4361067173651034
For condition '62', Best Medicine ID: 42789, Confidence: 0.7240889485651809
For condition '360', Best Medicine ID: 62884, Confidence: 1.265407958610147
For condition '173', Best Medicine ID: 226101, Confidence: 0.9255815897910704
For condition '148', Best Medicine ID: 155747, Confidence: 1.3560238379030305
For condition '768', Best Medicine ID: 176089, Confidence: 1.8372906239481894
For condition '45', Best Medicine ID: 74742, Confidence: 0.7419379153898116
For condition '334', Best Medicine ID: 7062, Confidence: 1.4779216042143979
For condition '392', Best Medicine ID: 119693, Confidence: 1.1880828883999652
For condition '249', Best Medicine ID: 116564, Confidence: 0.9221402573222237
For condition '613', Best Medicine ID: 80770, Confidence: 1.4398671522734614
For condition '682', Best Medicine ID: 174969, Confidence: 2.2125852855151207
For condition '750', Best Medicine ID: 29827, Confidence: 1.7867619460820579
For condition '621', Best Medicine ID: 116242, Confidence: 1.8227309412611032
For condition '495', Best Medicine ID: 139521, Confidence: 1.4698048932425956
For condition '150', Best Medicine ID: 179144, Confidence: 0.7690223670980401
For condition '164', Best Medicine ID: 171138, Confidence: 0.9356335169302232
For condition '287', Best Medicine ID: 69948, Confidence: 1.3773521290405726
For condition '593', Best Medicine ID: 118809, Confidence: 1.7330877923484427
For condition '725', Best Medicine ID: 155465, Confidence: 1.5985130477941993
For condition '559', Best Medicine ID: 58311, Confidence: 1.0990353136298499
For condition '642', Best Medicine ID: 13206, Confidence: 1.4894719751883518
For condition '544', Best Medicine ID: 181491, Confidence: 1.4094840297588611
For condition '293', Best Medicine ID: 3724, Confidence: 1.5051864609673873
For condition '112', Best Medicine ID: 217206, Confidence: 1.2926029885073378
For condition '231', Best Medicine ID: 149976, Confidence: 1.051150026750821
For condition '354', Best Medicine ID: 119398, Confidence: 1.4469337086852514
For condition '223', Best Medicine ID: 187347, Confidence: 0.9796167609692839
For condition '757', Best Medicine ID: 136479, Confidence: 1.7015348171902116
For condition '301', Best Medicine ID: 27619, Confidence: 0.9696370686040252
For condition '659', Best Medicine ID: 94885, Confidence: 2.1390261740377636
For condition '393', Best Medicine ID: 62925, Confidence: 1.3136081355421432
For condition '108', Best Medicine ID: 208161, Confidence: 0.7433090419233119
For condition '478', Best Medicine ID: 93895, Confidence: 1.2066012932743733
For condition '184', Best Medicine ID: 160234, Confidence: 1.0251696967676556
For condition '595', Best Medicine ID: 118788, Confidence: 1.9192031284438458
For condition '551', Best Medicine ID: 52730, Confidence: 1.1925386141856453
For condition '24', Best Medicine ID: 153774, Confidence: 0.60572302492258
For condition '816', Best Medicine ID: 66116, Confidence: 2.243810937425829
For condition '669', Best Medicine ID: 1849, Confidence: 1.8614484898903232
For condition '521', Best Medicine ID: 53372, Confidence: 1.474452080214074
For condition '670', Best Medicine ID: 58670, Confidence: 2.002465416637297
For condition '254', Best Medicine ID: 56969, Confidence: 1.4161404355847889
For condition '655', Best Medicine ID: 80578, Confidence: 1.6622579331431813
For condition '589', Best Medicine ID: 118826, Confidence: 1.605117840585915
For condition '222', Best Medicine ID: 60451, Confidence: 1.1983481909544507
For condition '802', Best Medicine ID: 46353, Confidence: 1.401792025811247
For condition '218', Best Medicine ID: 154702, Confidence: 0.8600080382749713
For condition '163', Best Medicine ID: 215156, Confidence: 1.2278845788988404
For condition '143', Best Medicine ID: 96619, Confidence: 0.7757816724145821
For condition '626', Best Medicine ID: 159523, Confidence: 1.546126139671133
For condition '573', Best Medicine ID: 175727, Confidence: 1.5290573225130495
For condition '283', Best Medicine ID: 105701, Confidence: 1.064957779328775
For condition '157', Best Medicine ID: 182113, Confidence: 0.9846049288201653
For condition '131', Best Medicine ID: 152465, Confidence: 0.7051248080363779
For condition '0', Best Medicine ID: 74704, Confidence: 0.9874634455395475
For condition '235', Best Medicine ID: 14080, Confidence: 0.7403772244064064
For condition '400', Best Medicine ID: 146666, Confidence: 1.1405210133382977
For condition '282', Best Medicine ID: 124919, Confidence: 0.7928662120343928
For condition '280', Best Medicine ID: 66827, Confidence: 0.9112456011049783
For condition '237', Best Medicine ID: 214764, Confidence: 0.8660205298070549
For condition '502', Best Medicine ID: 197417, Confidence: 1.8417153478746373
For condition '572', Best Medicine ID: 53351, Confidence: 1.4066939962901006
For condition '509', Best Medicine ID: 101955, Confidence: 1.6610862601209204
For condition '520', Best Medicine ID: 212474, Confidence: 1.2751650253231808
For condition '438', Best Medicine ID: 132928, Confidence: 1.7601246416330714
For condition '759', Best Medicine ID: 206485, Confidence: 1.7548488757848864
For condition '672', Best Medicine ID: 176102, Confidence: 1.4918877132748893
For condition '487', Best Medicine ID: 29643, Confidence: 1.4913690817931058
For condition '467', Best Medicine ID: 187309, Confidence: 1.6942541538449234
For condition '252', Best Medicine ID: 56969, Confidence: 1.304939644144331
For condition '375', Best Medicine ID: 8796, Confidence: 1.319156160585099
For condition '704', Best Medicine ID: 153551, Confidence: 1.4834744983087482
For condition '525', Best Medicine ID: 77457, Confidence: 1.9680022769435461
For condition '638', Best Medicine ID: 93470, Confidence: 1.3231613372991717
For condition '447', Best Medicine ID: 5564, Confidence: 1.4393716746524303
For condition '620', Best Medicine ID: 118843, Confidence: 1.6125615499397745
For condition '475', Best Medicine ID: 90194, Confidence: 1.2367312127416075
For condition '245', Best Medicine ID: 156125, Confidence: 1.3982462805196338
For condition '220', Best Medicine ID: 187356, Confidence: 1.4675921586743326
For condition '637', Best Medicine ID: 231995, Confidence: 2.0223640685029394
For condition '113', Best Medicine ID: 152473, Confidence: 0.7958637246618894
For condition '647', Best Medicine ID: 80576, Confidence: 1.731451223100513
For condition '238', Best Medicine ID: 105530, Confidence: 0.9668330401684428
For condition '761', Best Medicine ID: 214623, Confidence: 2.254354906375402
For condition '625', Best Medicine ID: 119083, Confidence: 1.4079595914162282
For condition '180', Best Medicine ID: 187303, Confidence: 1.000285416482984
For condition '379', Best Medicine ID: 8832, Confidence: 1.2965281326871505
For condition '307', Best Medicine ID: 214739, Confidence: 1.2911884876666802
For condition '676', Best Medicine ID: 176116, Confidence: 1.7258886416077064
For condition '580', Best Medicine ID: 198523, Confidence: 1.437475914396559
For condition '259', Best Medicine ID: 62834, Confidence: 0.8530911365589433
For condition '767', Best Medicine ID: 150545, Confidence: 2.20064176653773
For condition '491', Best Medicine ID: 114839, Confidence: 1.0919647594675106
For condition '328', Best Medicine ID: 119944, Confidence: 1.122981345213278
For condition '514', Best Medicine ID: 174263, Confidence: 1.4577523683152669
For condition '481', Best Medicine ID: 11327, Confidence: 1.512319032956421
For condition '26', Best Medicine ID: 53995, Confidence: 0.5846008484185359
For condition '473', Best Medicine ID: 111028, Confidence: 1.3832421691933454
For condition '165', Best Medicine ID: 187284, Confidence: 0.8087677936566133
For condition '733', Best Medicine ID: 95001, Confidence: 1.5437597705804218
For condition '719', Best Medicine ID: 66132, Confidence: 1.4915212724671882
For condition '493', Best Medicine ID: 194264, Confidence: 1.0305616172656187
For condition '347', Best Medicine ID: 57170, Confidence: 1.22142137265572
For condition '714', Best Medicine ID: 197974, Confidence: 2.3407018391913286
For condition '373', Best Medicine ID: 119662, Confidence: 1.0660278443767521
For condition '349', Best Medicine ID: 187815, Confidence: 1.0013228846161382
For condition '496', Best Medicine ID: 53400, Confidence: 1.3249049214734288
For condition '575', Best Medicine ID: 2369, Confidence: 2.1028269008492586
For condition '454', Best Medicine ID: 66553, Confidence: 1.0687992251051097
For condition '717', Best Medicine ID: 176104, Confidence: 1.7755876629012315
For condition '132', Best Medicine ID: 191806, Confidence: 0.5357222000096176
For condition '598', Best Medicine ID: 20333, Confidence: 1.4264007944095276
For condition '166', Best Medicine ID: 96618, Confidence: 0.8664810482057899
For condition '741', Best Medicine ID: 176097, Confidence: 1.804659437725507
For condition '601', Best Medicine ID: 118801, Confidence: 1.8432881653229125
For condition '596', Best Medicine ID: 137675, Confidence: 1.2636035332375513
For condition '579', Best Medicine ID: 62311, Confidence: 1.538800129997035
For condition '715', Best Medicine ID: 7891, Confidence: 1.411998404870717
For condition '821', Best Medicine ID: 20388, Confidence: 2.2618621864313657
For condition '42', Best Medicine ID: 115341, Confidence: 1.2676456604027038
For condition '524', Best Medicine ID: 13049, Confidence: 1.069352716162733
For condition '779', Best Medicine ID: 40163, Confidence: 1.7424531108366255
For condition '300', Best Medicine ID: 22732, Confidence: 1.0663242242895254
For condition '660', Best Medicine ID: 222911, Confidence: 1.6599354263516415
For condition '451', Best Medicine ID: 38283, Confidence: 1.5529806679349654
For condition '534', Best Medicine ID: 53358, Confidence: 1.5497074656808993
For condition '230', Best Medicine ID: 214736, Confidence: 0.7432315397919873
For condition '683', Best Medicine ID: 1903, Confidence: 2.1487475546180437
For condition '342', Best Medicine ID: 105749, Confidence: 0.9948255397678478
For condition '79', Best Medicine ID: 57739, Confidence: 1.128906693718647
For condition '253', Best Medicine ID: 87058, Confidence: 0.8545927245137075
For condition '217', Best Medicine ID: 14127, Confidence: 0.6138351512954263
For condition '508', Best Medicine ID: 181552, Confidence: 1.3048776553919421
For condition '482', Best Medicine ID: 11326, Confidence: 1.4897184644679151
For condition '483', Best Medicine ID: 29644, Confidence: 1.4708220206061853
For condition '641', Best Medicine ID: 56422, Confidence: 1.4224248288345742
For condition '617', Best Medicine ID: 118836, Confidence: 1.6492620644905212
For condition '437', Best Medicine ID: 133551, Confidence: 1.1511329394339505
For condition '671', Best Medicine ID: 202733, Confidence: 1.6679191072618975
For condition '288', Best Medicine ID: 117232, Confidence: 1.244798965009589
For condition '785', Best Medicine ID: 21507, Confidence: 2.046528181380963
For condition '90', Best Medicine ID: 156075, Confidence: 1.0413678514194469
For condition '390', Best Medicine ID: 137863, Confidence: 1.5907110755450709
For condition '261', Best Medicine ID: 28730, Confidence: 0.892628407873939
For condition '448', Best Medicine ID: 29660, Confidence: 1.182983923269509
For condition '87', Best Medicine ID: 164018, Confidence: 0.84453911056444
For condition '651', Best Medicine ID: 56424, Confidence: 1.518094019854574
For condition '634', Best Medicine ID: 153499, Confidence: 1.3649862809285764
For condition '267', Best Medicine ID: 187363, Confidence: 1.1916397208372707
For condition '309', Best Medicine ID: 22405, Confidence: 0.8700000601510514
For condition '224', Best Medicine ID: 187345, Confidence: 0.9180203269653942
For condition '765', Best Medicine ID: 14220, Confidence: 1.7385359439940764
For condition '364', Best Medicine ID: 119653, Confidence: 1.0126638445543308
For condition '54', Best Medicine ID: 131936, Confidence: 1.1083923725684992
For condition '395', Best Medicine ID: 172081, Confidence: 0.956353688872509
For condition '710', Best Medicine ID: 80412, Confidence: 1.1173521500482142
For condition '679', Best Medicine ID: 202728, Confidence: 1.8543882648894683
For condition '488', Best Medicine ID: 141781, Confidence: 1.1928318537308917
For condition '279', Best Medicine ID: 187364, Confidence: 1.1234247513803393
For condition '723', Best Medicine ID: 115140, Confidence: 1.5181403167485192
For condition '155', Best Medicine ID: 21867, Confidence: 0.7741435443559044
For condition '500', Best Medicine ID: 21894, Confidence: 1.4447284624156396
For condition '635', Best Medicine ID: 195017, Confidence: 1.5099340110730974
For condition '232', Best Medicine ID: 62914, Confidence: 1.0196267635422973
For condition '210', Best Medicine ID: 187384, Confidence: 1.2898393576682758
For condition '405', Best Medicine ID: 161645, Confidence: 1.2387936352620657
For condition '581', Best Medicine ID: 188033, Confidence: 1.4502859817233758
For condition '183', Best Medicine ID: 211265, Confidence: 0.9016604976431104
For condition '326', Best Medicine ID: 122001, Confidence: 1.4592435147891623
For condition '417', Best Medicine ID: 38279, Confidence: 1.587368521337798
For condition '109', Best Medicine ID: 115168, Confidence: 0.5154496390625818
For condition '48', Best Medicine ID: 204775, Confidence: 0.633854979533556
For condition '763', Best Medicine ID: 40860, Confidence: 1.621323748222975
For condition '781', Best Medicine ID: 18569, Confidence: 1.6991547915206144
For condition '504', Best Medicine ID: 181559, Confidence: 1.3900496399714566
For condition '58', Best Medicine ID: 6653, Confidence: 0.5952100725107576
For condition '431', Best Medicine ID: 211461, Confidence: 1.8005697045310494
For condition '313', Best Medicine ID: 214724, Confidence: 1.2357227346070572
For condition '357', Best Medicine ID: 62883, Confidence: 1.2481375559725891
For condition '82', Best Medicine ID: 155700, Confidence: 0.9814442295959251
For condition '44', Best Medicine ID: 120415, Confidence: 0.5292738129205252
For condition '592', Best Medicine ID: 118802, Confidence: 1.7988042126202877
For condition '23', Best Medicine ID: 203523, Confidence: 0.9804208610241587
For condition '607', Best Medicine ID: 55512, Confidence: 1.7511624691194023
For condition '352', Best Medicine ID: 8816, Confidence: 1.3424427159109067
For condition '255', Best Medicine ID: 56967, Confidence: 1.4686898398235448
For condition '667', Best Medicine ID: 176119, Confidence: 1.711995740974673
For condition '376', Best Medicine ID: 187794, Confidence: 1.1197346130632395
For condition '477', Best Medicine ID: 179352, Confidence: 1.3706571394411469
For condition '128', Best Medicine ID: 113519, Confidence: 0.8373720275822625
For condition '602', Best Medicine ID: 62336, Confidence: 1.4576493254637972
For condition '787', Best Medicine ID: 21456, Confidence: 1.8944061073955738
For condition '208', Best Medicine ID: 172631, Confidence: 0.7260878697869342
For condition '415', Best Medicine ID: 133546, Confidence: 1.4008385776988312
For condition '747', Best Medicine ID: 111714, Confidence: 1.6344500226935752
For condition '382', Best Medicine ID: 161720, Confidence: 1.0351151974100632
For condition '215', Best Medicine ID: 83396, Confidence: 0.5799200523885402
For condition '126', Best Medicine ID: 161144, Confidence: 0.4712388150199734
For condition '156', Best Medicine ID: 96620, Confidence: 0.7702081750282992
For condition '266', Best Medicine ID: 56969, Confidence: 1.418127492144936
For condition '367', Best Medicine ID: 179236, Confidence: 1.3289748176024445
For condition '248', Best Medicine ID: 56969, Confidence: 1.0761925795122833
For condition '353', Best Medicine ID: 62880, Confidence: 1.2164010098848896
For condition '271', Best Medicine ID: 145371, Confidence: 0.7334373456111152
For condition '453', Best Medicine ID: 29632, Confidence: 1.1863033861655539
For condition '378', Best Medicine ID: 220355, Confidence: 1.1060064357176884
For condition '758', Best Medicine ID: 206393, Confidence: 1.6742395669507224
For condition '542', Best Medicine ID: 77970, Confidence: 1.5635391835894095
For condition '202', Best Medicine ID: 112371, Confidence: 0.8117608721019898
For condition '707', Best Medicine ID: 176107, Confidence: 1.7631678968960163
For condition '302', Best Medicine ID: 18518, Confidence: 0.986058933369441
For condition '9', Best Medicine ID: 34776, Confidence: 0.6897409349797907
For condition '543', Best Medicine ID: 13174, Confidence: 1.309656178456596
For condition '99', Best Medicine ID: 6663, Confidence: 0.8691601854532454
For condition '664', Best Medicine ID: 206226, Confidence: 1.470184264731734
For condition '228', Best Medicine ID: 27509, Confidence: 1.0557599887882891
For condition '295', Best Medicine ID: 187085, Confidence: 1.1998911526826221
For condition '696', Best Medicine ID: 114016, Confidence: 1.2939306508554436
For condition '154', Best Medicine ID: 198153, Confidence: 1.1694321246083503
For condition '107', Best Medicine ID: 196615, Confidence: 0.8612384637634036
For condition '432', Best Medicine ID: 133549, Confidence: 1.2411054892602131
For condition '325', Best Medicine ID: 105734, Confidence: 1.0264627925457752
For condition '445', Best Medicine ID: 66192, Confidence: 1.2374225234800593
For condition '773', Best Medicine ID: 113912, Confidence: 1.3497778944401149
For condition '101', Best Medicine ID: 191192, Confidence: 0.5908746835536758
For condition '724', Best Medicine ID: 161631, Confidence: 1.7903573401680521
For condition '75', Best Medicine ID: 6648, Confidence: 0.8076084653945426
For condition '512', Best Medicine ID: 117274, Confidence: 1.308526836404302
For condition '67', Best Medicine ID: 139726, Confidence: 0.9415665590495883
For condition '276', Best Medicine ID: 66828, Confidence: 0.9217310201008533
For condition '339', Best Medicine ID: 119697, Confidence: 0.9152967280656343
For condition '236', Best Medicine ID: 152716, Confidence: 0.6382731175175753
For condition '200', Best Medicine ID: 60452, Confidence: 1.2462933529438565
For condition '690', Best Medicine ID: 201121, Confidence: 1.8534571053253215
For condition '554', Best Medicine ID: 41688, Confidence: 1.7063831896255501
For condition '291', Best Medicine ID: 214768, Confidence: 1.3050758494125771
For condition '310', Best Medicine ID: 187596, Confidence: 1.151598594908236
For condition '244', Best Medicine ID: 43010, Confidence: 1.0852199786984746
For condition '600', Best Medicine ID: 118793, Confidence: 1.8385123938506052
For condition '748', Best Medicine ID: 155480, Confidence: 1.9331767537908595
For condition '69', Best Medicine ID: 191148, Confidence: 0.3739291036698121
For condition '191', Best Medicine ID: 79809, Confidence: 0.6355215723712213
For condition '681', Best Medicine ID: 201400, Confidence: 1.5441406402895979
For condition '86', Best Medicine ID: 90982, Confidence: 0.5996445859855144
For condition '303', Best Medicine ID: 179167, Confidence: 1.3054294676716154
For condition '162', Best Medicine ID: 168382, Confidence: 0.7122296229612599
For condition '93', Best Medicine ID: 37303, Confidence: 0.9374444254246659
For condition '590', Best Medicine ID: 118819, Confidence: 1.6632375908249863
For condition '421', Best Medicine ID: 23736, Confidence: 1.0894635510118815
For condition '469', Best Medicine ID: 115618, Confidence: 1.5595634114304895
For condition '462', Best Medicine ID: 66183, Confidence: 1.226896464222613
For condition '736', Best Medicine ID: 181059, Confidence: 2.104516609266154
For condition '258', Best Medicine ID: 117227, Confidence: 1.2351107025501842
For condition '540', Best Medicine ID: 53353, Confidence: 1.5657867457956152
For condition '531', Best Medicine ID: 139467, Confidence: 1.4832611271144245
For condition '804', Best Medicine ID: 163451, Confidence: 1.78664993008107
For condition '146', Best Medicine ID: 115215, Confidence: 0.7111965505517799
For condition '668', Best Medicine ID: 177047, Confidence: 1.714434023785964
For condition '799', Best Medicine ID: 78802, Confidence: 1.5594144443289677
For condition '127', Best Medicine ID: 157573, Confidence: 0.42177776420221597
For condition '110', Best Medicine ID: 6568, Confidence: 0.733570562055559
For condition '436', Best Medicine ID: 133559, Confidence: 1.1863013575336014
For condition '8', Best Medicine ID: 34796, Confidence: 0.689620870281642
For condition '66', Best Medicine ID: 105736, Confidence: 0.5141949552849026
For condition '722', Best Medicine ID: 177142, Confidence: 1.2507015261072543
For condition '718', Best Medicine ID: 202618, Confidence: 1.6033565393274696
For condition '370', Best Medicine ID: 161755, Confidence: 0.935693348435616
For condition '608', Best Medicine ID: 119070, Confidence: 1.3951479308447745
For condition '181', Best Medicine ID: 160233, Confidence: 0.9780092870505959
For condition '687', Best Medicine ID: 102826, Confidence: 1.448721324985661
For condition '59', Best Medicine ID: 96841, Confidence: 0.49566416619002124
For condition '322', Best Medicine ID: 27630, Confidence: 1.03986278760279
For condition '17', Best Medicine ID: 34644, Confidence: 0.692439331977798
For condition '27', Best Medicine ID: 120410, Confidence: 0.5978714747530816
For condition '294', Best Medicine ID: 154456, Confidence: 0.8525495582092684
For condition '399', Best Medicine ID: 154360, Confidence: 1.0731171158176438
For condition '433', Best Medicine ID: 28646, Confidence: 1.1329621716674554
For condition '675', Best Medicine ID: 1902, Confidence: 2.0763502580782505
For condition '203', Best Medicine ID: 105354, Confidence: 0.9032338890424265
For condition '125', Best Medicine ID: 34756, Confidence: 0.6027109711436267
For condition '226', Best Medicine ID: 83390, Confidence: 1.1831354952588118
For condition '64', Best Medicine ID: 13057, Confidence: 1.0126733604730755
For condition '264', Best Medicine ID: 117228, Confidence: 1.2365364274467896
